Số điện thoại,Trace ID,Request,Kênh đăng nhập,Thiết bị,Os,OsVersion,AppVersion,IMei,Trạng thái,Ngày yêu cầu,Ngày phản hồi,IPRequest,ResCode,Description,MsgCode,DescDetail
xxxxxxx524,523496154937179,59 - Lấy thông tin version,"PREMB_10.53.93.54:9080, MB_10.53.93.135:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:34 PM,08/11/2023 09:39:34 PM,104.28.237.72:59075|10.53.54.81_Prod,00,Thành công,INFO-00,
xxxxxxx524,175116915928498,31 - Lấy danh sách Banner,"PREMB_10.53.93.60:9080, MB_10.53.93.67:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:33 PM,08/11/2023 09:39:33 PM,104.28.237.72:63086|10.53.54.89_Prod,00,Thành công,INFO-00,
xxxxxxx524,434631810656417,1 - Đăng nhập,"PREMB_10.53.93.59:9080, MB_10.53.93.66:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:32 PM,08/11/2023 09:39:32 PM,104.28.237.72:58973|10.53.54.89_Prod,777,"BIDV đã tích hợp phương thức xác thực Smart OTP trên SmartBanking đối với kênh Mobile và Internet cho phép Quý khách sử dụng và xác thực giao dịch thuận tiện, bảo mật với mã OTP. Quý khách vui lòng cài đặt Smart OTP và đặt mã PIN để bảo mật mã OTP khi xác thực giao dịch",AUTOACTIVESOTP-777,
xxxxxxx524,12803903857561,33 - Lấy giá trị configs,"PREMB_10.53.93.59:9080, MB_10.53.93.66:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:23 PM,08/11/2023 09:39:23 PM,104.28.237.72:37757|10.53.54.83_Prod,00,Thành công,INFO-00,
xxxxxxx524,196729552468307,31 - Lấy danh sách Banner,"PREMB_10.53.93.134:9080, MB_10.53.93.135:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:39:22 PM,08/11/2023 09:39:22 PM,104.28.237.72:11689|10.53.54.89_Prod,00,Thành công,INFO-00,
xxxxxxx524,4442440395709,10 - Lấy danh sách tài khoản,"PREMB_10.53.93.65:9080, MB_10.53.93.73:8088",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:01:58 PM,08/11/2023 09:01:57 PM,104.28.237.72:53846|10.53.54.87_Prod,00,Thành công,INFO-00,
xxxxxxx524,556309785278355,103 - Xác thực chuyển khoản 247 tới số tài khoản,"PREMB_10.53.93.115:9080, MB_10.53.93.118:8085",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:01:54 PM,08/11/2023 09:01:53 PM,104.28.237.72:4118|10.53.54.88_Prod,00,Success,INFO-00,
xxxxxxx524,707897864394344,102 - Khởi tạo chuyển khoản 247 tới số tài khoản,"PREMB_10.53.93.117:9080, MB_10.53.93.78:8085",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:00:46 PM,08/11/2023 09:00:45 PM,104.28.237.72:52629|10.53.54.88_Prod,00,Thành công,INFO-00,
xxxxxxx524,31313111209756,33 - Lấy giá trị configs,"PREMB_10.53.93.134:9080, MB_10.53.93.67:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:00:43 PM,08/11/2023 09:00:43 PM,104.28.237.72:21653|10.53.54.89_Prod,00,Thành công,INFO-00,
xxxxxxx524,536180907652439,10 - Lấy danh sách tài khoản,"PREMB_10.53.93.65:9080, MB_10.53.93.71:8088",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:00:40 PM,08/11/2023 09:00:40 PM,104.28.237.72:47749|10.53.54.72_Prod,00,Thành công,INFO-00,
xxxxxxx524,847062873663078,240 - Lịch sử giao dịch gần đây,"PREMB_10.53.93.54:9080, MB_10.53.93.83:8082",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:00:35 PM,08/11/2023 09:00:35 PM,104.28.237.72:52474|10.53.54.82_Prod,00,Thành công,00,
xxxxxxx524,683827058694094,240 - Lịch sử giao dịch gần đây,"PREMB_10.53.93.55:9080, MB_10.53.93.83:8082",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:00:35 PM,08/11/2023 09:00:35 PM,104.28.237.72:15631|10.53.54.82_Prod,00,Thành công,00,
xxxxxxx524,640703652047610,103 - Xác thực chuyển khoản 247 tới số tài khoản,"PREMB_10.53.93.62:9080, MB_10.53.93.121:8085",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 09:00:34 PM,08/11/2023 09:00:34 PM,104.28.237.72:42159|10.53.54.79_Prod,00,Success,INFO-00,
xxxxxxx524,802101909861169,102 - Khởi tạo chuyển khoản 247 tới số tài khoản,"PREMB_10.53.93.115:9080, MB_10.53.93.78:8085",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:59:01 PM,08/11/2023 08:59:00 PM,104.28.237.72:60210|10.53.54.80_Prod,00,Thành công,INFO-00,
xxxxxxx524,32947546188282,225 - Lấy danh sách mẫu chuyển tiền,"PREMB_10.53.93.56:9080, MB_10.53.93.84:8082",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:58:53 PM,08/11/2023 08:58:53 PM,104.28.237.72:5922|10.53.54.91_Prod,00,Thành công,00,
xxxxxxx524,20855148159006,33 - Lấy giá trị configs,"PREMB_10.53.93.59:9080, MB_10.53.93.135:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:58:53 PM,08/11/2023 08:58:53 PM,104.28.237.72:51335|10.53.54.89_Prod,00,Thành công,INFO-00,
xxxxxxx524,92956507786832,"201 - Lấy thông tin tài khoản,thẻ chuyển khoản 247","PREMB_10.53.93.116:9080, MB_10.53.93.119:8085",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:58:52 PM,08/11/2023 08:58:52 PM,104.28.237.72:50981|10.53.54.73_Prod,00,Thành công,00,
xxxxxxx524,45153843327386,24 - Xác nhận đăng ký Soft OTP,"PREMB_10.53.93.127:9080, MB_10.53.93.66:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:58:22 PM,08/11/2023 08:58:22 PM,104.28.237.72:23675|10.53.54.91_Prod,00,"Quý khách đã cài đặt Smart OTP trên SmartBanking đối với kênh Mobile và Internet. Quý khách cần thực hiện đủ 2 giao dịch tài chính xác thực qua SMS OTP thành công trên Mobile, không bao gồm các giao dịch có OTP hiển thị ngay trên màn hình xác nhận giao dịch như: Chuyển khoản chính chủ tài khoản, Gửi/Rút tiền gửi Online, Bán ngoại tệ, Nạp tiền điện thoại, Thanh toán hóa đơn tiền điện/nước/viễn thông truyền hình dưới 5 triệu đồng. Quý khách vui lòng cài đặt mã PIN để bảo mật OTP trên ứng dụng",CONFIRMACTIVESOTP-00,
xxxxxxx524,180770121621815,23 - Khởi tạo đăng ký/hủy Soft OTP,"PREMB_10.53.93.54:9080, MB_10.53.93.67:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:57:42 PM,08/11/2023 08:57:42 PM,104.28.237.72:8146|10.53.54.91_Prod,00,Thành công,INITACTIVESOTP-00,
xxxxxxx524,714071169204751,10 - Lấy danh sách tài khoản,"PREMB_10.53.93.64:9080, MB_10.53.93.72:8088",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:57:05 PM,08/11/2023 08:57:04 PM,104.28.237.72:20700|10.53.54.87_Prod,00,Thành công,INFO-00,
xxxxxxx524,819640911473275,202 - Lấy danh sách ngân hàng ck ngoài,"PREMB_10.53.93.127:9080, MB_10.53.93.137:8083",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:57:04 PM,08/11/2023 08:57:04 PM,104.28.237.72:13813|10.53.54.82_Prod,00,Success,00,
xxxxxxx524,104253284328465,220 - Lấy danh sách danh bạ thụ hưởng,"PREMB_10.53.93.127:9080, MB_10.53.93.84:8082",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:57:04 PM,08/11/2023 08:57:04 PM,104.28.237.72:18666|10.53.54.91_Prod,00,Thành công,00,
xxxxxxx524,125650397858383,10 - Lấy danh sách tài khoản,"PREMB_10.53.93.65:9080, MB_10.53.93.73:8088",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:57:02 PM,08/11/2023 08:57:01 PM,104.28.237.72:14275|10.53.54.87_Prod,00,Thành công,INFO-00,
xxxxxxx524,116730113088323,919 - Lấy danh sách chức năng theo Smrat Kids,"PREMB_10.53.93.55:9080, MB_10.53.93.135:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:56:58 PM,08/11/2023 08:56:58 PM,104.28.237.72:42329|10.53.54.82_Prod,00,Thành công,INFO-00,
xxxxxxx524,991414302168141,60 - Lấy danh sách chức năng yêu thích,"PREMB_10.53.93.55:9080, MB_10.53.93.135:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:56:58 PM,08/11/2023 08:56:58 PM,104.28.237.72:8986|10.53.54.91_Prod,00,Thành công,INFO-00,
xxxxxxx524,629357842232578,132 - Lấy danh sách nhóm bảo hiểm,"PREMB_10.53.93.58:9080, MB_10.53.93.80:8086",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:56:58 PM,08/11/2023 08:56:57 PM,104.28.237.72:10390|10.53.54.90_Prod,00,Success,00,
xxxxxxx524,543193598924280,131 - Lấy danh sách chứng khoán,"PREMB_10.53.93.57:9080, MB_10.53.93.80:8086",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:56:57 PM,08/11/2023 08:56:57 PM,104.28.237.72:64407|10.53.54.90_Prod,00,Success,00,
xxxxxxx524,144262699951007,59 - Lấy thông tin version,"PREMB_10.53.93.54:9080, MB_10.53.93.67:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:56:56 PM,08/11/2023 08:56:56 PM,104.28.237.72:61514|10.53.54.81_Prod,00,Thành công,INFO-00,
xxxxxxx524,341760302148772,33 - Lấy giá trị configs,"PREMB_10.53.93.60:9080, MB_10.53.93.68:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:56:56 PM,08/11/2023 08:56:56 PM,104.28.237.72:40529|10.53.54.89_Prod,00,Thành công,INFO-00,
xxxxxxx524,124268493939634,31 - Lấy danh sách Banner,"PREMB_10.53.93.60:9080, MB_10.53.93.68:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:56:56 PM,08/11/2023 08:56:55 PM,104.28.237.72:10491|10.53.54.89_Prod,00,Thành công,INFO-00,
xxxxxxx524,259394930846150,25 - Tự động đăng ký OTT,"PREMB_10.53.93.56:9080, MB_10.53.93.68:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:56:55 PM,08/11/2023 08:56:54 PM,104.28.237.72:59434|10.53.54.81_Prod,00,"Nhằm gia tăng tiện ích cho Khách hàng, BIDV triển khai thêm tính năng nhận thông báo biến động số dư của tài khoản qua dịch vụ OTT của ứng dụng SmartBanking. Nếu không có nhu cầu, Quý khách vui lòng truy cập chức năng Cài đặt để tắt tính năng này",BANKREGOTTAUTO-00,
xxxxxxx524,577458637970654,2 - Kích hoạt,"PREMB_10.53.93.134:9080, MB_10.53.93.66:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:56:53 PM,08/11/2023 08:56:52 PM,104.28.237.72:65196|10.53.54.83_Prod,00,Thành công,INFO-00,
xxxxxxx524,468924212646256,1 - Đăng nhập,"PREMB_10.53.93.59:9080, MB_10.53.93.135:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,Success,08/11/2023 08:55:51 PM,08/11/2023 08:55:51 PM,104.28.237.72:9958|10.53.54.83_Prod,00,Thành công,INFO-00,
xxxxxxx524,477037682621600,1 - Đăng nhập,"PREMB_10.53.93.60:9080, MB_10.53.93.68:8081",iPhone 6,IOS,12.5.7,5218,8C7B70D0-829F-4112-91BC-F04B51D17CD1,False,08/11/2023 08:54:45 PM,08/11/2023 08:54:45 PM,104.28.237.72:17003|10.53.54.83_Prod,55,Thông tin đăng nhập không chính xác. Quý khách lưu ý: Dịch vụ SmartBanking sẽ bị khóa nếu Quý khách nhập sai mật khẩu 5 lần trở lên.,55,
xxxxxxx524,959768576649498,431 - ekyc Đăng ký xác nhận,"PREMB_10.53.93.54:9080, MB_10.53.93.76:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:48:01 PM,08/11/2023 08:48:01 PM,129.227.75.218:17367|10.53.54.82_Prod,00,Thành công,00,
xxxxxxx524,19301842810322,430 - ekyc Đăng ký khởi tạo,"PREMB_10.53.93.54:9080, MB_10.53.93.137:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:46:53 PM,08/11/2023 08:46:53 PM,129.227.75.218:34476|10.53.54.91_Prod,00,"CIF,ACC",00,
xxxxxxx524,450349290801209,446 - Lay thong tin goi dich vu,"PREMB_10.53.93.54:9080, MB_10.53.93.137:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:46:48 PM,08/11/2023 08:46:48 PM,129.227.75.218:25895|10.53.54.81_Prod,00,Lấy thông tin Gói thành công,00,
xxxxxxx524,140304610540353,420 - ekyc danh sách chi nhánh,"PREMB_10.53.93.54:9080, MB_10.53.93.137:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:46:41 PM,08/11/2023 08:46:41 PM,129.227.75.218:65314|10.53.54.91_Prod,00,Success,00,
xxxxxxx524,60566734774688,423 - Lấy quận/huyện EKYC,"PREMB_10.53.93.54:9080, MB_10.53.93.76:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:46:38 PM,08/11/2023 08:46:37 PM,129.227.75.218:9883|10.53.54.91_Prod,00,Success,00,
xxxxxxx524,423069160570314,419 - Lấy chi tỉnh/tp EKYC,"PREMB_10.53.93.55:9080, MB_10.53.93.75:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:46:35 PM,08/11/2023 08:46:35 PM,129.227.75.218:33222|10.53.54.81_Prod,00,Success,00,
xxxxxxx524,558688358834407,421 - ekyc danh sách nghê nghiệp,"PREMB_10.53.93.54:9080, MB_10.53.93.137:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:46:32 PM,08/11/2023 08:46:31 PM,129.227.75.218:7901|10.53.54.81_Prod,00,Success,00,
xxxxxxx524,389029490131892,422 - ekyc danh sách vị trí,"PREMB_10.53.93.54:9080, MB_10.53.93.76:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:46:20 PM,08/11/2023 08:46:20 PM,129.227.75.218:48580|10.53.54.81_Prod,00,Success,00,
xxxxxxx524,538079943256698,447 - Lay thong tin Ma gioi thieu dac trung,"PREMB_10.53.93.56:9080, MB_10.53.93.76:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:46:05 PM,08/11/2023 08:46:05 PM,129.227.75.218:54308|10.53.54.91_Prod,00,Lấy danh sách Mã đặc trưng thành công.,00,
xxxxxxx524,950130315543796,418 - ekyc lấy dịch vu đăng ký,"PREMB_10.53.93.56:9080, MB_10.53.93.137:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:46:05 PM,08/11/2023 08:46:05 PM,129.227.75.218:19949|10.53.54.82_Prod,00,Success,00,
xxxxxxx524,47253587414944,428 - ekyc Kiểm tra thông tin khách hang hien hưu,"PREMB_10.53.93.56:9080, MB_10.53.93.137:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:46:03 PM,08/11/2023 08:46:03 PM,129.227.75.218:35547|10.53.54.81_Prod,00,Success,00,
xxxxxxx524,787945062640904,432 - ekyc Kiểm tra tồn tại số điện thoại,"PREMB_10.53.93.55:9080, MB_10.53.93.75:8083",R17,ANDROID,29,5.2.20,###eaeb25ea6965371c###ffffffff-f66a-e672-ffff-ffff9d7b6daa,Success,08/11/2023 08:44:30 PM,08/11/2023 08:44:30 PM,129.227.75.218:65054|10.53.54.91_Prod,00,Success,00,
xxxxxxx526,734539491996334,59 - Lấy thông tin version,"PREMB_10.53.93.127:9080, MB_10.53.93.68:8081",CPH2015,ANDROID,28,5.2.20,###c469aa0a2e22eb4f###00000000-36d4-5998-ffff-ffffef05ac4a,Success,09/11/2023 04:16:19 PM,09/11/2023 04:16:19 PM,36.37.198.228:11247|10.53.54.91_Prod,00,Thành công,INFO-00,
xxxxxxx526,25116257742374,1 - Đăng nhập,"PREMB_10.53.93.134:9080, MB_10.53.93.66:8081",CPH2015,ANDROID,28,5.2.20,###c469aa0a2e22eb4f###00000000-36d4-5998-ffff-ffffef05ac4a,False,09/11/2023 04:16:17 PM,09/11/2023 04:16:17 PM,36.37.198.228:58600|10.53.54.83_Prod,55,Thông tin đăng nhập không chính xác. Quý khách lưu ý: Dịch vụ SmartBanking sẽ bị khóa nếu Quý khách nhập sai mật khẩu 5 lần trở lên.,REGISTOR-55,
xxxxxxx526,508883694569622,1 - Đăng nhập,"PREMB_10.53.93.60:9080, MB_10.53.93.68:8081",CPH2015,ANDROID,28,5.2.20,###c469aa0a2e22eb4f###00000000-36d4-5998-ffff-ffffef05ac4a,False,09/11/2023 04:16:10 PM,09/11/2023 04:16:10 PM,36.37.198.228:4606|10.53.54.89_Prod,55,Thông tin đăng nhập không chính xác. Quý khách lưu ý: Dịch vụ SmartBanking sẽ bị khóa nếu Quý khách nhập sai mật khẩu 5 lần trở lên.,REGISTOR-55,
xxxxxxx526,368478786963735,1 - Đăng nhập,"PREMB_10.53.93.134:9080, MB_10.53.93.67:8081",CPH2015,ANDROID,28,5.2.20,###c469aa0a2e22eb4f###00000000-36d4-5998-ffff-ffffef05ac4a,False,09/11/2023 04:15:51 PM,09/11/2023 04:15:51 PM,36.37.198.228:37639|10.53.54.83_Prod,55,Thông tin đăng nhập không chính xác. Quý khách lưu ý: Dịch vụ SmartBanking sẽ bị khóa nếu Quý khách nhập sai mật khẩu 5 lần trở lên.,REGISTOR-55,
xxxxxxx526,512776449047337,59 - Lấy thông tin version,"PREMB_10.53.93.54:9080, MB_10.53.93.67:8081",CPH2015,ANDROID,28,5.2.20,###c469aa0a2e22eb4f###00000000-36d4-5998-ffff-ffffef05ac4a,Success,09/11/2023 04:14:04 PM,09/11/2023 04:14:04 PM,36.37.198.228:16450|10.53.54.82_Prod,00,Thành công,INFO-00,
xxxxxxx526,76361691238600,1 - Đăng nhập,"PREMB_10.53.93.134:9080, MB_10.53.93.67:8081",CPH2015,ANDROID,28,5.2.20,###c469aa0a2e22eb4f###00000000-36d4-5998-ffff-ffffef05ac4a,False,09/11/2023 04:14:01 PM,09/11/2023 04:14:01 PM,36.37.198.228:8758|10.53.54.83_Prod,55,Thông tin đăng nhập không chính xác. Quý khách lưu ý: Dịch vụ SmartBanking sẽ bị khóa nếu Quý khách nhập sai mật khẩu 5 lần trở lên.,REGISTOR-55,
xxxxxxx526,423963983748614,131 - Lấy danh sách chứng khoán,"PREMB_10.53.93.57:9080, MB_10.53.93.79:8086",CPH2015,ANDROID,28,5.2.20,###c469aa0a2e22eb4f###00000000-36d4-5998-ffff-ffffef05ac4a,Success,09/11/2023 04:13:02 PM,09/11/2023 04:13:02 PM,36.37.198.228:7079|10.53.54.90_Prod,00,Success,00,
xxxxxxx526,942599904919956,60 - Lấy danh sách chức năng yêu thích,"PREMB_10.53.93.56:9080, MB_10.53.93.66:8081",CPH2015,ANDROID,28,5.2.20,###c469aa0a2e22eb4f###00000000-36d4-5998-ffff-ffffef05ac4a,Success,09/11/2023 04:13:01 PM,09/11/2023 04:13:01 PM,36.37.198.228:32413|10.53.54.91_Prod,00,Thành công,INFO-00,
